"gene_id"	"bp_length"	"symbol"
"1"	"ENSG00000000003.14"	4535	TSPAN6
"2"	"ENSG00000000005.5"	1610	TNMD
"3"	"ENSG00000000419.12"	1207	DPM1
"4"	"ENSG00000000457.13"	6883	SCYL3
"5"	"ENSG00000000460.16"	5967	C1orf112
"6"	"ENSG00000000938.12"	3474	FGR
"7"	"ENSG00000000971.15"	8145	CFH
"8"	"ENSG00000001036.13"	2793	FUCA2
"9"	"ENSG00000001084.10"	8463	GCLC
"10"	"ENSG00000001167.14"	3811	NFYA
"11"	"ENSG00000001460.17"	8511	STPG1
"12"	"ENSG00000001461.16"	9404	NIPAL3
"13"	"ENSG00000001497.16"	5589	LAS1L
"14"	"ENSG00000001561.6"	4651	ENPP4
"15"	"ENSG00000001617.11"	4826	SEMA3F
"16"	"ENSG00000001626.14"	8517	CFTR
"17"	"ENSG00000001629.9"	7130	ANKIB1
"18"	"ENSG00000001630.15"	4074	CYP51A1
"19"	"ENSG00000001631.15"	6204	KRIT1
"20"	"ENSG00000002016.17"	4190	RAD52
"21"	"ENSG00000002079.12"	6346	NA
"22"	"ENSG00000002330.13"	1708	BAD
"23"	"ENSG00000002549.12"	3785	LAP3
"24"	"ENSG00000002586.18"	3284	CD99
"25"	"ENSG00000002586.18_PAR_Y"	3284	CD99
"26"	"ENSG00000002587.9"	8166	HS3ST1
"27"	"ENSG00000002726.20"	3824	AOC1
"28"	"ENSG00000002745.12"	3261	WNT16
"29"	"ENSG00000002746.14"	13965	HECW1
"30"	"ENSG00000002822.15"	7230	MAD1L1
"31"	"ENSG00000002834.17"	7061	LASP1
"32"	"ENSG00000002919.14"	3606	SNX11
"33"	"ENSG00000002933.7"	3479	TMEM176A
"34"	"ENSG00000003056.7"	3777	M6PR
"35"	"ENSG00000003096.13"	6983	KLHL13
"36"	"ENSG00000003137.8"	5015	CYP26B1
"37"	"ENSG00000003147.17"	4891	ICA1
"38"	"ENSG00000003249.13"	4791	DBNDD1
"39"	"ENSG00000003393.14"	10384	ALS2
"40"	"ENSG00000003400.14"	7598	CASP10
"41"	"ENSG00000003402.19"	22529	CFLAR
"42"	"ENSG00000003436.14"	11714	TFPI
"43"	"ENSG00000003509.15"	3651	NDUFAF7
"44"	"ENSG00000003756.16"	10368	RBM5
"45"	"ENSG00000003987.13"	5692	MTMR7
"46"	"ENSG00000003989.16"	7905	SLC7A2
"47"	"ENSG00000004059.10"	1871	ARF5
"48"	"ENSG00000004139.13"	11137	SARM1
"49"	"ENSG00000004142.11"	2121	POLDIP2
"50"	"ENSG00000004399.12"	9738	PLXND1
"51"	"ENSG00000004455.16"	5727	AK2
"52"	"ENSG00000004468.12"	6855	CD38
"53"	"ENSG00000004478.7"	5180	FKBP4
"54"	"ENSG00000004487.15"	5435	KDM1A
"55"	"ENSG00000004534.14"	7302	RBM6
"56"	"ENSG00000004660.14"	7424	CAMKK1
"57"	"ENSG00000004700.15"	3778	RECQL
"58"	"ENSG00000004766.15"	9454	VPS50
"59"	"ENSG00000004776.11"	1722	HSPB6
"60"	"ENSG00000004777.18"	5260	ARHGAP33
"61"	"ENSG00000004779.9"	1600	NDUFAB1
"62"	"ENSG00000004799.7"	4519	PDK4
"63"	"ENSG00000004809.13"	3907	SLC22A16
"64"	"ENSG00000004838.13"	4009	ZMYND10
"65"	"ENSG00000004846.16"	9257	ABCB5
"66"	"ENSG00000004848.7"	3097	ARX
"67"	"ENSG00000004864.13"	3710	SLC25A13
"68"	"ENSG00000004866.19"	6742	c("ST7", "ST7-OT3", "MIR6132")
"69"	"ENSG00000004897.11"	6824	CDC27
"70"	"ENSG00000004939.13"	5287	SLC4A1
"71"	"ENSG00000004948.13"	4042	CALCR
"72"	"ENSG00000004961.14"	2335	HCCS
"73"	"ENSG00000004975.11"	5350	DVL2
"74"	"ENSG00000005001.9"	2387	PRSS22
"75"	"ENSG00000005007.12"	8600	UPF1
"76"	"ENSG00000005020.12"	5520	SKAP2
"77"	"ENSG00000005022.5"	1500	SLC25A5
"78"	"ENSG00000005059.15"	3566	MCUB
